,tweet_date,tweet_year,tweet_month,tweet_day,tweet_hour,tweet_text,tweet_lat,tweet_long,tweet_source,tweet_in_reply_to_screen_name,tweet_direct_reply,tweet_retweet_status,tweet_retweet_count,tweet_favorite_count,tweet_hashtags,tweet_hashtags_count,tweet_urls,tweet_urls_count,tweet_user_mentions,tweet_user_mentions_count,tweet_media_type,tweet_lang
1046,2015-07-20 13:29:00+03:00,2015,7,20,13,"Madaxweynaha ayaa maanta ka guddoomay warqadaha aqoonsiga, Danjiraha cusub ee Boqortooyada UK Ms Harriet Mathews http://t.co/D5a9xgRHSU",,,Twitter Web Client,,TRUE,FALSE,15,15,,0,,0,,0,photo,so
1047,2015-07-20 13:25:00+03:00,2015,7,20,13,Madaxweynaha: “Taageerada Boqortooyada UK waxay muhiim u tahay dib u soo kabashada Soomaaliya’’ http://t.co/SzmoNHDnWU,,,Twitter Web Client,,TRUE,FALSE,6,9,,0,,0,,0,photo,so
1048,2015-07-19 17:44:00+03:00,2015,7,19,17,"Madaxweynaha: Waxaa inaga go’an inuu jiro isla xisaabtan, mas’uul kastana lagu qiimeeyo waxqabadkiisa. http://t.co/TzYqPLGv76",,,Twitter Web Client,,TRUE,FALSE,1,11,,0,,0,,0,photo,so
1049,2015-07-18 21:25:00+03:00,2015,7,18,21,#Prez receives Eidul Fitri congratulation msg from #British PM @David_Cameron http://t.co/w3AJ3aGhKf,,,Twitter Web Client,,TRUE,FALSE,8,18,"Prez, British",2,,0,David_Cameron,1,photo,en
1050,2015-07-18 19:33:00+03:00,2015,7,18,19,#Somalis celebrate! -A Joyous Eid In Somalia:@ugaasada Abukar Boocow's Instagram Photos Capture The Celebrations:http://t.co/2hb1RZeVlA,,,Twitter Web Client,,TRUE,FALSE,9,6,Somalis,1,http://t.co/2hb1RZeVlA,1,ugaasada,1,,en
1051,2015-07-18 19:23:00+03:00,2015,7,18,19,Ciid iyo dhulkeena hooyo,,,Facebook,,TRUE,FALSE,2,3,,0,,0,,0,,so
1052,2015-07-18 19:17:00+03:00,2015,7,18,19,Ciid iyo dhulkeena hooyo http://t.co/v4zu7bSRd6,,,Twitter Web Client,,TRUE,FALSE,2,4,,0,,0,,0,photo,so
1053,2015-07-18 17:20:00+03:00,2015,7,18,17,Prez joins thousands of people in #Mogadishu to celebrate #EidAlFitr http://t.co/XDNgalYURQ,,,Twitter Web Client,,TRUE,FALSE,54,38,"Mogadishu, EidAlFitr",2,,0,,0,photo,en
1054,2015-07-16 22:12:00+03:00,2015,7,16,22,Madaxweynaha oo ummadda Soomaaliyeed ugu hambalyeeyey ciiddul Fidri,,,Twitter for Android,,TRUE,FALSE,4,8,,0,,0,,0,,so
1055,2015-07-16 21:51:00+03:00,2015,7,16,21,@ActForSomalia President is taking your question now #AskVillaSomalia,,,Twitter Web Client,ActForSomalia,TRUE,FALSE,1,0,AskVillaSomalia,1,,0,ActForSomalia,1,,en
1056,2015-07-16 21:32:00+03:00,2015,7,16,21,Prez: Let's be kind and forgive. so that we get Allah's mercy and live in peace and harmony,,,Twitter for Android,,TRUE,FALSE,1,5,,0,,0,,0,,en
1057,2015-07-16 21:31:00+03:00,2015,7,16,21,"Prez urges reconciliation, forgiveness and unity on Eid ul Fitri celebrations",,,Twitter for Android,,TRUE,FALSE,0,5,,0,,0,,0,,en
1058,2015-07-16 21:30:00+03:00,2015,7,16,21,Prez congratulates the nation on Eid celebrations,,,Twitter for Android,,TRUE,FALSE,2,4,,0,,0,,0,,en
1059,2015-07-16 21:17:00+03:00,2015,7,16,21,"@mahad_ibro  #AskVillaSomalia Pre taking questions randomly as they come via twitter, email and phone calls, but answers are via the phone.",,,Twitter Web Client,mahad_ibro,TRUE,FALSE,0,0,AskVillaSomalia,1,,0,mahad_ibro,1,,en
1060,2015-07-16 21:02:00+03:00,2015,7,16,21,@ahmetabdisalam  #AskVillaSomalia President just took your question.,,,Twitter Web Client,ahmetabdisalam,TRUE,FALSE,1,0,AskVillaSomalia,1,,0,ahmetabdisalam,1,,en
1061,2015-07-16 21:01:00+03:00,2015,7,16,21,#AskVillaSomalia @Talliye  President is taking your question right at this moment,,,Twitter Web Client,,TRUE,FALSE,3,3,AskVillaSomalia,1,,0,Talliye,1,,en
